epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,453.296,1.33121,2.75177,1.8518,0.52513,0.49353,0.54655,0.27651,1.52571,2.68923,2.25576,0.000551392,0.000551392,0.000551392
2,830.951,1.31413,2.06005,1.77976,0.63479,0.722,0.66085,0.32844,1.55806,2.15867,2.06095,0.00099746,0.00099746,0.00099746
3,1207.77,1.29653,1.8029,1.78515,0.5276,0.65802,0.54039,0.24355,1.65533,2.3416,2.2223,0.00133351,0.00133351,0.00133351
4,1586.55,1.28655,1.52313,1.76829,0.74295,0.63026,0.74491,0.40473,1.41651,1.51658,1.92703,0.0011719,0.0011719,0.0011719
5,1963.52,1.24766,1.35313,1.71786,0.73523,0.69618,0.73855,0.41564,1.38342,1.41983,1.86602,0.00100687,0.00100687,0.00100687
6,2341.06,1.21789,1.2258,1.69212,0.81065,0.75226,0.82574,0.49418,1.33871,1.26574,1.7689,0.000841835,0.000841835,0.000841835
7,2717.16,1.17049,1.13002,1.63041,0.83088,0.76273,0.84098,0.5235,1.25331,1.18222,1.67666,0.000676802,0.000676802,0.000676802
8,3098.18,1.13136,1.05661,1.59122,0.77105,0.70787,0.7609,0.44628,1.27526,1.2136,1.69523,0.000511769,0.000511769,0.000511769
9,3476.32,1.06261,1.00047,1.55298,0.84973,0.74979,0.8338,0.51843,1.24211,1.07273,1.67137,0.000346736,0.000346736,0.000346736
10,3855.62,1.04781,0.94783,1.52078,0.84278,0.76779,0.85459,0.55209,1.17366,1.02833,1.60602,0.000181703,0.000181703,0.000181703
